prad,napiecie,power,setcurrent
0.002,4.028,0.0,1
0.0,4.028,0.0,101
0.055,4.028,0.2,201
0.165,4.001,0.7,301
0.165,4.001,0.7,401
0.165,4.001,0.7,501
0.165,4.001,0.7,601
0.165,4.001,0.7,701
0.339,3.967,1.3,801
0.535,3.945,2.1,901
0.85,3.9,3.3,1001
0.986,3.88,3.8,1101
1.075,3.88,4.2,1201
1.161,3.86,4.5,1301
1.272,3.838,4.8,1401
1.35,3.838,5.2,1501
1.474,3.817,5.6,1601
1.585,3.795,6.0,1701
1.669,3.795,6.3,1801
1.762,3.774,6.6,1901
1.875,3.754,7.0,2001
1.969,3.732,7.3,2101
2.068,3.732,7.6,2201
2.168,3.711,8.0,2301
2.262,3.689,8.3,2401
2.376,3.669,8.7,2501
2.49,3.669,9.1,2601
2.577,3.648,9.4,2701
2.667,3.626,9.7,2801
2.784,3.6,10.0,2901
2.87,3.588,10.3,3001
2.961,3.571,10.6,3101
3.083,3.554,11.0,3201
3.179,3.539,11.3,3301
3.303,3.516,11.6,3401
3.392,3.497,11.9,3501
3.509,3.477,12.2,3601
3.597,3.462,12.5,3701
3.693,3.448,12.7,3801
3.766,3.434,12.9,3901
3.883,3.415,13.3,4001
4.008,3.39,13.6,4101
4.096,3.37,13.8,4201
4.199,3.348,14.1,4301
4.265,3.332,14.2,4401
4.39,3.316,14.6,4501
4.493,3.299,14.8,4601
4.603,3.275,15.1,4701
4.676,3.251,15.2,4801
4.816,3.223,15.5,4901
4.904,3.188,15.7,5001
4.985,3.175,15.8,5101
5.102,3.154,16.1,5201
5.205,3.131,16.3,5301
5.301,3.101,16.4,5401
5.396,3.07,16.6,5501
5.506,3.026,16.7,5601
5.594,2.992,16.7,5701
5.69,2.964,16.9,5801
5.792,2.934,17.0,5901
5.917,2.892,17.1,6001
6.042,2.797,16.9,6101
6.108,2.628,16.5,6201
6.204,2.149,13.3,6301
6.277,1.245,8.9,6401
6.387,0.702,4.5,6501
6.446,0.497,3.2,6601
6.431,0.454,2.9,6701
6.439,0.452,2.9,6801
6.475,0.45,2.9,6901
6.505,0.45,2.9,7001
6.505,0.45,2.9,7101
6.475,0.452,2.9,7201
6.431,0.456,2.9,7301
6.431,0.456,2.9,7401
6.461,0.451,2.9,7501
6.497,0.451,2.9,7601
6.512,0.451,2.9,7701
6.483,0.453,2.9,7801
6.453,0.457,2.9,7901
6.439,0.459,3.0,8001
6.439,0.457,2.9,8101
6.453,0.451,2.9,8201
6.475,0.449,2.9,8301
6.49,0.449,2.9,8401
6.461,0.451,2.9,8501
6.424,0.455,2.9,8601
6.409,0.455,2.9,8701
6.431,0.452,2.9,8801
6.475,0.45,2.9,8901
6.505,0.448,2.9,9001
6.497,0.45,2.9,9101
6.461,0.454,2.9,9201
6.431,0.456,2.9,9301
6.431,0.456,2.9,9401
6.468,0.452,2.9,9501
6.505,0.45,2.9,9601
6.512,0.45,2.9,9701
6.49,0.452,2.9,9801
6.439,0.456,2.9,9901
