prad,napiecie,power,setcurrent
0.003,4.287,0.0,1
0.0,4.287,0.0,101
0.054,4.287,0.2,201
0.165,4.261,0.7,301
0.275,4.261,1.2,401
0.348,4.234,1.5,501
0.46,4.234,1.9,601
0.56,4.207,2.4,701
0.654,4.18,2.7,801
0.765,4.18,3.2,901
0.864,4.153,3.6,1001
0.957,4.153,4.0,1101
1.07,4.127,4.3,1201
1.168,4.1,4.8,1301
1.261,4.1,5.2,1401
1.372,4.073,5.6,1501
1.461,4.046,5.9,1601
1.556,4.019,6.3,1701
1.675,4.019,6.7,1801
1.766,4.019,7.1,1901
1.786,4.019,7.2,2001
1.786,4.019,7.2,2101
1.786,4.019,7.2,2201
1.786,4.019,7.2,2301
1.914,3.958,7.6,2401
2.159,3.931,8.5,2501
2.434,3.89,9.5,2601
2.584,3.847,9.9,2701
2.676,3.825,10.2,2801
2.773,3.825,10.6,2901
2.878,3.804,10.9,3001
2.967,3.782,11.2,3101
3.083,3.76,11.6,3201
3.179,3.738,11.9,3301
3.281,3.715,12.2,3401
3.399,3.691,12.5,3501
3.487,3.67,12.8,3601
3.604,3.646,13.1,3701
3.678,3.624,13.3,3801
3.773,3.589,13.6,3901
3.869,3.566,13.8,4001
4.023,3.528,14.1,4101
4.089,3.497,14.3,4201
4.207,3.462,14.6,4301
4.295,3.438,14.8,4401
4.405,3.411,15.0,4501
4.486,3.368,15.2,4601
4.603,3.325,15.3,4701
4.698,3.253,15.3,4801
4.787,3.202,15.3,4901
4.911,3.135,15.4,5001
4.985,3.1,15.5,5101
5.102,3.046,15.5,5201
5.19,2.988,15.5,5301
5.286,2.886,15.4,5401
5.389,2.802,15.1,5501
5.506,2.683,14.8,5601
5.587,2.611,14.6,5701
5.704,2.552,14.6,5801
5.822,2.454,14.4,5901
5.895,2.352,13.9,6001
6.035,2.076,12.5,6101
6.101,1.884,11.7,6201
6.211,1.794,11.1,6301
6.292,1.687,10.6,6401
6.387,1.616,10.3,6501
6.512,1.479,9.6,6601
6.6,1.329,8.8,6701
6.718,1.099,7.7,6801
6.82,0.909,6.5,6901
6.923,0.749,5.2,7001
7.011,0.61,4.3,7101
6.989,0.585,4.1,7201
6.975,0.581,4.1,7301
6.989,0.577,4.0,7401
7.041,0.573,4.0,7501
7.085,0.571,4.0,7601
7.077,0.571,4.0,7701
7.041,0.573,4.0,7801
6.997,0.578,4.0,7901
6.975,0.578,4.0,8001
6.997,0.574,4.0,8101
7.041,0.57,4.0,8201
7.085,0.568,4.0,8301
7.085,0.568,4.0,8401
7.048,0.574,4.0,8501
7.004,0.576,4.0,8601
6.989,0.576,4.0,8701
7.011,0.57,4.0,8801
7.063,0.566,4.0,8901
7.099,0.564,4.0,9001
7.092,0.566,4.0,9101
7.048,0.57,4.0,9201
7.004,0.572,4.0,9301
7.004,0.57,4.0,9401
7.041,0.566,4.0,9501
7.092,0.562,4.0,9601
7.107,0.562,4.0,9701
7.085,0.566,4.0,9801
7.041,0.57,4.0,9901
