prad,napiecie,power,setcurrent
0.002,3.822,0.0,1
0.0,3.822,0.0,101
0.052,3.716,0.2,201
0.16,3.5,0.6,301
0.271,3.277,0.9,401
0.365,3.102,1.1,501
0.459,2.925,1.3,601
0.577,2.737,1.6,701
0.678,2.613,1.8,801
0.773,2.564,2.0,901
0.869,2.51,2.2,1001
0.944,2.397,2.3,1101
1.079,2.299,2.5,1201
1.176,2.194,2.6,1301
1.262,2.107,2.7,1401
1.355,2.021,2.7,1501
1.469,1.901,2.8,1601
1.563,1.773,2.8,1701
1.675,1.665,2.8,1801
1.79,1.547,2.8,1901
1.883,1.388,2.6,2001
1.973,1.178,2.3,2101
2.077,0.928,1.9,2201
2.152,0.726,1.6,2301
2.268,0.791,1.8,2401
2.367,0.837,2.0,2501
2.477,0.857,2.1,2601
2.574,0.816,2.1,2701
2.661,0.749,2.0,2801
2.754,0.595,1.7,2901
2.851,0.496,1.5,3001
2.966,0.402,1.2,3101
3.069,0.288,0.9,3201
3.113,0.239,0.7,3301
3.105,0.234,0.7,3401
3.12,0.234,0.7,3501
3.113,0.234,0.7,3601
3.098,0.234,0.7,3701
3.105,0.234,0.7,3801
3.12,0.234,0.7,3901
3.113,0.236,0.7,4001
3.098,0.234,0.7,4101
3.054,0.229,0.7,4201
3.105,0.231,0.7,4301
3.127,0.235,0.7,4401
3.113,0.235,0.7,4501
3.113,0.235,0.7,4601
3.12,0.235,0.7,4701
3.127,0.237,0.7,4801
3.12,0.235,0.7,4901
3.12,0.235,0.7,5001
3.127,0.235,0.7,5101
3.127,0.235,0.7,5201
3.127,0.237,0.7,5301
3.127,0.237,0.7,5401
3.127,0.237,0.7,5501
3.127,0.237,0.7,5601
3.12,0.235,0.7,5701
3.12,0.235,0.7,5801
3.113,0.235,0.7,5901
3.105,0.235,0.7,6001
3.098,0.233,0.7,6101
3.098,0.233,0.7,6201
3.091,0.235,0.7,6301
3.091,0.233,0.7,6401
3.076,0.233,0.7,6501
3.083,0.231,0.7,6601
3.069,0.231,0.7,6701
3.054,0.231,0.7,6801
3.039,0.231,0.7,6901
3.017,0.229,0.7,7001
3.135,0.236,0.7,7101
3.259,0.246,0.8,7201
3.259,0.246,0.8,7301
3.252,0.246,0.8,7401
3.237,0.244,0.8,7501
3.237,0.244,0.8,7601
3.223,0.244,0.8,7701
3.223,0.244,0.8,7801
3.23,0.244,0.8,7901
3.223,0.242,0.8,8001
3.208,0.242,0.8,8101
3.208,0.242,0.8,8201
3.201,0.242,0.8,8301
3.193,0.242,0.8,8401
3.193,0.24,0.8,8501
3.201,0.24,0.8,8601
3.201,0.24,0.8,8701
3.208,0.24,0.8,8801
3.193,0.24,0.8,8901
3.179,0.24,0.8,9001
3.171,0.24,0.8,9101
3.171,0.24,0.8,9201
3.179,0.24,0.8,9301
3.179,0.238,0.8,9401
3.186,0.238,0.8,9501
3.179,0.238,0.8,9601
3.171,0.238,0.8,9701
3.171,0.238,0.8,9801
3.157,0.238,0.8,9901
