prad,napiecie,power,setcurrent
0.004,4.314,0.0,1
0.0,4.314,0.0,101
0.051,4.252,0.2,201
0.158,4.18,0.7,301
0.274,4.055,1.1,401
0.295,4.01,1.2,501
0.295,4.01,1.2,601
0.295,4.01,1.2,701
0.295,4.01,1.2,801
0.411,3.87,1.6,901
0.555,3.732,2.1,1001
0.925,3.398,3.1,1101
1.044,3.226,3.4,1201
1.152,3.104,3.6,1301
1.268,2.981,3.8,1401
1.362,2.893,3.9,1501
1.456,2.819,4.1,1601
1.569,2.713,4.3,1701
1.664,2.632,4.4,1801
1.759,2.539,4.5,1901
1.875,2.432,4.5,2001
1.956,2.372,4.6,2101
2.072,2.269,4.7,2201
2.166,2.182,4.7,2301
2.259,2.085,4.7,2401
2.373,1.996,4.7,2501
2.488,1.893,4.7,2601
2.58,1.786,4.6,2701
2.674,1.647,4.4,2801
2.765,1.474,4.1,2901
2.853,1.319,3.8,3001
2.969,1.082,3.2,3101
3.083,1.032,3.2,3201
3.179,1.015,3.2,3301
3.296,0.905,3.0,3401
3.37,0.787,2.7,3501
3.494,0.666,2.3,3601
3.59,0.598,2.1,3701
3.685,0.501,1.8,3801
3.781,0.372,1.4,3901
3.861,0.3,1.2,4001
3.898,0.297,1.2,4101
3.935,0.303,1.2,4201
3.95,0.308,1.2,4301
3.913,0.304,1.2,4401
3.891,0.302,1.2,4501
3.869,0.3,1.2,4601
3.869,0.3,1.2,4701
3.854,0.3,1.2,4801
3.832,0.3,1.1,4901
3.847,0.3,1.2,5001
3.869,0.3,1.2,5101
3.847,0.3,1.2,5201
3.861,0.3,1.2,5301
3.847,0.3,1.2,5401
3.803,0.298,1.1,5501
3.817,0.298,1.1,5601
3.81,0.296,1.1,5701
3.81,0.296,1.1,5801
3.766,0.292,1.1,5901
3.759,0.29,1.1,6001
3.759,0.292,1.1,6101
3.729,0.29,1.1,6201
3.715,0.288,1.1,6301
3.707,0.288,1.1,6401
3.678,0.284,1.0,6501
3.641,0.282,1.0,6601
3.597,0.275,1.0,6701
3.524,0.27,1.0,6801
3.48,0.268,0.9,6901
3.436,0.262,0.9,7001
3.531,0.27,0.9,7101
3.619,0.277,1.0,7201
3.729,0.287,1.1,7301
3.751,0.291,1.1,7401
3.737,0.289,1.1,7501
3.766,0.291,1.1,7601
3.781,0.293,1.1,7701
3.751,0.291,1.1,7801
3.795,0.293,1.1,7901
3.773,0.293,1.1,8001
3.751,0.289,1.1,8101
3.751,0.289,1.1,8201
3.729,0.289,1.1,8301
3.707,0.287,1.1,8401
3.744,0.289,1.1,8501
3.766,0.293,1.1,8601
3.751,0.291,1.1,8701
3.737,0.289,1.1,8801
3.744,0.289,1.1,8901
3.737,0.291,1.1,9001
3.707,0.289,1.1,9101
3.715,0.287,1.1,9201
3.707,0.287,1.1,9301
3.722,0.287,1.1,9401
3.751,0.291,1.1,9501
3.715,0.289,1.1,9601
3.678,0.287,1.1,9701
3.612,0.281,1.0,9801
3.575,0.276,1.0,9901
